#,Simulation (title),Play URL (jsfiddle),Collection,Description
53,EM Wave,https://jsfiddle.net/Chenopdodium/yt41zxoh/show/,Charge & Electromagnetism,Maxwell equations overview
54,EM wave through accelerated charge,https://jsfiddle.net/Chenopdodium/g1w86jsy/show/,Charge & Electromagnetism,EM wave through accelerated charge | Electromagnetic wave
55,Eigenstrain movement (pressure),https://jsfiddle.net/Chenopdodium/k8e4bsm7/show/,Charge & Electromagnetism,Eigenstrain migration
56,Elastic Transport Field,https://jsfiddle.net/Chenopdodium/7jrfoagt/show/,Charge & Electromagnetism,Elastic Transport Field
57,Elastic Transport Field,https://jsfiddle.net/Chenopdodium/cq2vdLfj/show/,Charge & Electromagnetism,Elastic Transport Field | Elastic pseudomomentum
58,Electric Field,https://jsfiddle.net/Chenopdodium/kd1wr68f/show/,Charge & Electromagnetism,E=-grad phi visualization | Electric Field
59,FCC Grid (with tensor),https://jsfiddle.net/Chenopdodium/tzdxLuer/show/,Charge & Electromagnetism,FCC Grid (with tensor) | Microstructure illustration 3 | Microstructure intuition (2)
60,Fluid vs Elastic,https://jsfiddle.net/Chenopdodium/L1kz6jws/show/,Charge & Electromagnetism,Elastic vs fluid
61,Hedgehog Charge (twist field) (3D),https://jsfiddle.net/Chenopdodium/0dz35e7L/show/,Charge & Electromagnetism,Hedgehog Charge (twist field) (3D)
62,Jello Eigenstrain Pump,https://jsfiddle.net/Chenopdodium/5vtk48sy/show/,Charge & Electromagnetism,Jello Eigenstrain Pump | Moving charge (view 2)
63,Jello with clock,https://jsfiddle.net/Chenopdodium/6h8wme7s/show/,Charge & Electromagnetism,Jello with clock | Microstructure illustration 2 | Time dilation (mechanical)
64,"Lenz Law (3D, jello)",https://jsfiddle.net/Chenopdodium/fvjoxrdq/show/,Charge & Electromagnetism,Lenz / induction (view 3)
65,Lenz Law II,https://jsfiddle.net/Chenopdodium/z1n3gxp2/show/,Charge & Electromagnetism,Lenz / induction (view 2)
66,Lenz Law in an elastic solid (old version),https://jsfiddle.net/Chenopdodium/h7sbw5pr/show/,Charge & Electromagnetism,Lenz Law in an elastic solid (old version)
67,Lenz law of induction,https://jsfiddle.net/Chenopdodium/rp3ohacb/show/,Charge & Electromagnetism,Lenz / induction (view 1)
68,Lenz’s law illustration,https://jsfiddle.net/Chenopdodium/5reL2v3g/show/,Charge & Electromagnetism,Lenz’s law illustration
69,Lorentz Force,https://jsfiddle.net/Chenopdodium/9u2prq1c/show/,Charge & Electromagnetism,Lorentz force
70,Moving Charge,https://jsfiddle.net/Chenopdodium/u8pvk5Lx/show/,Charge & Electromagnetism,Moving Charge
71,Moving Charge (Circular) (Biot Savart),https://jsfiddle.net/Chenopdodium/zcek0xs9/show/,Charge & Electromagnetism,Moving Charge (Circular) (Biot Savart)
